,2021-01-01
"(('battery', 'electricity'), 'invest')",11477.9337688114
"(('battery', 'electricity'), 'total')",11477.9337688114
"(('electricity', 'battery'), 'invest')",11477.9337688114
"(('electricity', 'battery'), 'total')",11477.9337688114
"(('fuel_cell', 'electricity'), 'invest')",-0.0
"(('fuel_cell', 'electricity'), 'total')",0.0
"(('geothermal', 'electricity'), 'invest')",1500.0
"(('geothermal', 'electricity'), 'total')",1500.0
"(('hydro', 'electricity'), 'invest')",1930.0
"(('hydro', 'electricity'), 'total')",3000.0
"(('pp_bagasse', 'electricity'), 'invest')",142.24
"(('pp_bagasse', 'electricity'), 'total')",254.24
"(('pp_fuel_oil', 'electricity'), 'invest')",0.0
"(('pp_fuel_oil', 'electricity'), 'total')",92.0
"(('pp_nuclear', 'electricity'), 'invest')",0.33
"(('pp_nuclear', 'electricity'), 'total')",0.33
"(('pv', 'electricity'), 'invest')",0.0
"(('pv', 'electricity'), 'total')",60.0
"(('wind', 'electricity'), 'invest')",13404.3728754847
"(('wind', 'electricity'), 'total')",13404.3728754847
"(('biogas heating', 'heat_bus'), 'invest')",2435.84
"(('biogas heating', 'heat_bus'), 'total')",2435.84
"(('industrial boiler', 'heat_bus'), 'invest')",-0.0
"(('industrial boiler', 'heat_bus'), 'total')",0.0
"(('pp_bagasse', 'heat_bus'), 'invest')",360.16
"(('pp_bagasse', 'heat_bus'), 'total')",472.16
"(('LPG stoves', 'cooking_bus'), 'invest')",12693.728402336
"(('LPG stoves', 'cooking_bus'), 'total')",12693.728402336
"(('biogas stoves', 'cooking_bus'), 'invest')",-0.0
"(('biogas stoves', 'cooking_bus'), 'total')",0.0
"(('electric cookers', 'cooking_bus'), 'invest')",2919.72159766405
"(('electric cookers', 'cooking_bus'), 'total')",2919.72159766405
"(('improved stoves', 'cooking_bus'), 'invest')",22773.55
"(('improved stoves', 'cooking_bus'), 'total')",22773.55
"(('unimproved stoves', 'cooking_bus'), 'invest')",-0.0
"(('unimproved stoves', 'cooking_bus'), 'total')",0.0
"(('combustion engine transport vehicles', 'transport_bus'), 'invest')",-0.0
"(('combustion engine transport vehicles', 'transport_bus'), 'total')",0.0
"(('electric transport vehicles', 'transport_bus'), 'invest')",3990.0
"(('electric transport vehicles', 'transport_bus'), 'total')",3990.0
"(('hydrogen vehicles', 'transport_bus'), 'invest')",693.600718551975
"(('hydrogen vehicles', 'transport_bus'), 'total')",693.600718551975
"(('aviation', 'aviation_bus'), 'invest')",154.0
"(('aviation', 'aviation_bus'), 'total')",154.0
storage_invest_GWh,0.0114779337688114
wind_invest_MW,13.4043728754847
unsustainable_biomass,0.0
total_woody_biomass,283983.07692307694
effective_end_use_stove_improved,"variable_name
flow    65468.825
dtype: float64"
effective_end_use_stove_unimproved,"variable_name
flow    0.0
dtype: float64"
non_renewable_biomass_cooking,"variable_name
flow    0.0
dtype: float64"
res_share_effective_end_use_energy,"variable_name
flow    0.915381
dtype: float64"
