parameter,unit,value
price_fuel_oil,$/MWh LHV,88.9
price_biofuel,$/MWh LHV,64.1
price_kerosene,$/MWh LHV,99.8
price_lpg,$/MWh LHV,25.46
price_woody_biomass,$/MWh LHV,7.2
price_bagasse,$/MWh LHV,6.53
price_uranium,$/MWh LHV,3.4
price_peat,$/MWh LHV,2.78
price_waste_biomass,$/MWh LHV,1
price_hydro,$/MWh LHV,3
price_geothermal,$/MWh LHV,30
price_pp_nuclear,$/MWh LHV,13
price_blender_biofuel,$/MWh LHV,0.1
price_pp_fuel_oil,$/MWh LHV,3.4
price_pp_peat,$/MWh LHV,6.8
price_digester,$/MWh LHV,0
price_biogas_heating,$/MWh LHV,0
price_industrial_boiler,$/MWh LHV,0
price_wood_boiler,$/MWh LHV,0
price_pp_bagasse,$/MWh LHV,5
price_electrolyzer,$/MWh LHV,0
price_fuel_cell,$/MWh LHV,0
price_battery_storage,$/MWh LHV,0
price_hydrogen_storage,$/MWh LHV,0
price_transport_el,$/MWh LHV,150
price_transport_ce,$/MWh LHV,90
price_transport_hg,$/MWh LHV,240
price_airplanes_hydrogen,$/MWh LHV,180
price_airplanes_kerosene,$/MWh LHV,120
price_infinite_wood_storage,$/MWh LHV,0
price_infinite_kerosene_storage,$/MWh LHV,0
price_infinite_fuel_storage,$/MWh LHV,0
price_infinite_lpg_storage,$/MWh LHV,0
price_infinite_biogas_storage,$/MWh LHV,0
price_cooker_el,$/MWh LHV,0
price_stove_unimproved,$/MWh LHV,0
price_stove_improved,$/MWh LHV,0
price_stove_lpg,$/MWh LHV,0
price_stove_biogas,$/MWh LHV,0
price_stove_ethanol,$/MWh LHV,0
