,"(('battery', 'electricity'), 'flow')","(('electricity', 'battery'), 'flow')","(('electricity', 'electric cookers'), 'flow')","(('electricity', 'electric transport vehicles'), 'flow')","(('electricity', 'electricity demand'), 'flow')","(('electricity', 'electrolyzer'), 'flow')","(('electricity', 'excess_electricity'), 'flow')","(('fuel_cell', 'electricity'), 'flow')","(('geothermal', 'electricity'), 'flow')","(('hydro', 'electricity'), 'flow')","(('pp_bagasse', 'electricity'), 'flow')","(('pp_fuel_oil', 'electricity'), 'flow')","(('pp_nuclear', 'electricity'), 'flow')","(('pp_peat', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')","(('wind', 'electricity'), 'flow')","(('biogas heating', 'heat_bus'), 'flow')","(('heat_bus', 'heat demand'), 'flow')","(('industrial boiler', 'heat_bus'), 'flow')","(('pp_bagasse', 'heat_bus'), 'flow')","(('wood boiler', 'heat_bus'), 'flow')","(('LPG stoves', 'cooking_bus'), 'flow')","(('biogas stoves', 'cooking_bus'), 'flow')","(('cooking_bus', 'cooking demand'), 'flow')","(('electric cookers', 'cooking_bus'), 'flow')","(('ethanol stoves', 'cooking_bus'), 'flow')","(('improved stoves', 'cooking_bus'), 'flow')","(('unimproved stoves', 'cooking_bus'), 'flow')","(('combustion engine transport vehicles', 'transport_bus'), 'flow')","(('electric transport vehicles', 'transport_bus'), 'flow')","(('hydrogen vehicles', 'transport_bus'), 'flow')","(('transport_bus', 'transport demand'), 'flow')","(('aviation_bus', 'aviation demand'), 'flow')","(('hydrogen aviation', 'aviation_bus'), 'flow')","(('kerosene aviation', 'aviation_bus'), 'flow')"
2021-01-01 00:00:00,0.0,871.813976856331,0.0,-7.79272209933371e-15,2315.555557408,9.52858098270469e-15,0.0,0.0,0.0,674.1,39.2,2474.06953426433,0.0,0.0,0.0,0.0,1.68613490256976e-13,2908.0,0.0,39.2,2868.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,-5.45490546953359e-15,0.0,3990.0,154.0,0.0,154.0
2021-01-01 01:00:00,0.0,177.147312968332,0.0,0.0,3010.222221296,9.52858098270471e-15,0.0,0.0,0.0,674.1,39.2,2474.06953426433,0.0,0.0,0.0,0.0,0.0,2908.0,0.0,39.2,2868.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3790.5,0.0,0.0,3790.5,154.0,2.11132391698574e-14,154.0
2021-01-01 02:00:00,0.0,177.147312968332,0.0,0.0,3010.222221296,9.52858098270469e-15,0.0,0.0,0.0,674.1,39.2,2474.06953426433,0.0,0.0,0.0,0.0,0.0,2908.0,0.0,39.2,2868.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.5,0.0,0.0,2194.5,154.0,0.0,154.0
2021-01-01 03:00:00,0.0,177.147312968332,0.0,0.0,3010.222221296,9.52858098270469e-15,0.0,0.0,0.0,674.1,39.2,2474.06953426433,0.0,0.0,0.0,0.0,0.0,2908.0,0.0,39.2,2868.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.5,0.0,0.0,997.5,154.0,0.0,154.0
2021-01-01 04:00:00,0.0,188.187312968332,0.0,0.0,3010.222221296,9.52858098270469e-15,0.0,0.0,0.0,674.1,39.2,2474.06953426433,0.0,0.0,11.04,0.0,0.0,2908.0,0.0,39.2,2868.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.1,0.0,0.0,758.1,154.0,0.0,154.0
2021-01-01 05:00:00,0.0,444.602866208332,0.0,0.0,2778.666668056,9.52858098270469e-15,0.0,0.0,0.0,684.8,39.2,2474.06953426433,0.0,0.0,25.2,0.0,0.0,2908.0,0.0,39.2,2868.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.5,0.0,0.0,598.5,154.0,0.0,154.0
2021-01-01 06:00:00,1750.99964164667,0.0,1742.751397207,0.0,3241.777778704,9.52858098270469e-15,0.0,0.0,0.0,684.8,39.2,2474.06953426433,0.0,0.0,35.46,0.0,0.0,2908.0,0.0,39.2,2868.8,26533.2888822344,0.0,38387.0,1394.2011177656,453.15,10006.36,0.0,558.6,0.0,0.0,558.6,154.0,0.0,154.0
2021-01-01 07:00:00,0.0,0.0,1742.751397207,0.0,1157.777778704,9.52858098270469e-15,339.780358353328,0.0,0.0,684.8,39.2,2474.06953426433,0.0,0.0,42.24,0.0,3.87811027591046e-13,2908.0,0.0,39.2,2868.8,16369.8188822344,0.0,19193.5,1394.2011177656,0.0,1429.48,0.0,279.3,0.0,0.0,279.3,154.0,0.0,154.0
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,463.111110648,9.52858098270469e-15,2781.03842361633,0.0,0.0,684.8,39.2,2474.06953426433,0.0,0.0,46.08,0.0,0.0,2908.0,-2.42381892244404e-14,39.2,2868.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.1,0.0,0.0,758.1,154.0,0.0,154.0
2021-01-01 09:00:00,0.0,0.0,1199.59375,0.0,578.888889352,9.52858098270469e-15,1466.86689491233,0.0,0.0,684.8,39.2,2474.06953426433,0.0,0.0,47.28,0.0,0.0,2908.0,-2.42381892244404e-14,39.2,2868.8,0.0,0.0,959.6750000000001,959.675,0.0,0.0,0.0,1077.3,0.0,0.0,1077.3000000000002,154.0,0.0,154.0
